CASENAME,COMN,Similarity,token_sort_ratio
BALLY'S PARK PLACE,BALLY'S PARK PLACE INC,1,1
BALLYS PARK PLACE INC,BALLY'S PARK PLACE INC,1,1
BALTIMORE BUSINESS FORMS INC,BALTIMORE BUSINESS FORMS INC,1,1
BANDAG,BANDAG INC,1,1
BANDAG INC,BANDAG INC,1,1
"BANDAG, INC",BANDAG INC,1,1
"BANDAG, INC.",BANDAG INC,1,1
BANGOR HYDRO-ELECTRIC CO.,BANGOR HYDRO-ELECTRIC CO,1,1
BANKER'S TRUST,BANKERS TRUST CORP,1,1
BANTA COMPANY,BANTA CORP,1,1
"BANTA COMPANY, INC.",BANTA CORP,1,1
BANYAN INC,BANYAN CORP,1,1
"BANYAN, INC.",BANYAN CORP,1,1
BASCO CO.,BASCO INC,1,1
BAY STATE GAS CO,BAY STATE GAS,1,1
BAY STATE GAS CO.,BAY STATE GAS,1,1
BAY STATE GAS COMPANY,BAY STATE GAS,1,1
BEAR ISLAND PAPER CO,BEAR ISLAND PAPER CO LLC,1,1
BEAR ISLAND PAPER COMPANY,BEAR ISLAND PAPER CO LLC,1,1
"BED, BATH & BEYOND, INC.",BED BATH & BEYOND INC,1,1
BELL INDUSTRIES,BELL INDUSTRIES INC,1,1
"BELL INDUSTRIES, INC",BELL INDUSTRIES INC,1,1
"BELL INDUSTRIES, INC.",BELL INDUSTRIES INC,1,1
BEMIS CO INC,BEMIS CO INC,1,1
"BEMIS CO., INC.",BEMIS CO INC,1,1
"BEMIS COMPANY, INC.",BEMIS CO INC,1,1
BENDIX CORP,BENDIX CORP,1,1
BENIHANA,BENIHANA INC,1,1
BERGER INDUSTRIES,BERGER INDUSTRIES INC,1,1
BERGER INDUSTRIES INC,BERGER INDUSTRIES INC,1,1
"BERGER INDUSTRIES, INC.",BERGER INDUSTRIES INC,1,1
BERKLINE CORPORATION,BERKLINE CORP,1,1
BERKLINE INC,BERKLINE CORP,1,1
BERRY INDUSTRIES  INC,BERRY INDUSTRIES CORP,1,1
"BERRY PLASTICS, INC.",BERRY PLASTICS CORP,1,1
BEST BUY CO.,BEST BUY CO INC,1,1
"BEST BUY CO., INC.",BEST BUY CO INC,1,1
"BEST BUY COMPANY, INC.",BEST BUY CO INC,1,1
BEST PRODUCTS,BEST PRODUCTS,1,1
"BEST PRODUCTS CO, INC",BEST PRODUCTS,1,1
BEST PRODUCTS COMPANY,BEST PRODUCTS,1,1
BEST PRODUCTS COMPANY INC.,BEST PRODUCTS,1,1
"BEST PRODUCTS COMPANY, INC.",BEST PRODUCTS,1,1
BETHLEHEM STEEL CORP,BETHLEHEM STEEL CORP,1,1
BETHLEHEM STEEL CORP.,BETHLEHEM STEEL CORP,1,1
BETHLEHEM STEEL CORPORATION,BETHLEHEM STEEL CORP,1,1
"BEVERLY BANCORPORATION, INC.",BEVERLY BANCORPORATION INC,1,1
BEVERLY ENTERPRISES,BEVERLY ENTERPRISES INC,1,1
BEVERLY ENTERPRISES INC,BEVERLY ENTERPRISES INC,1,1
"BEVERLY ENTERPRISES, INC",BEVERLY ENTERPRISES INC,1,1
"BEVERLY ENTERPRISES, INC.",BEVERLY ENTERPRISES INC,1,1
BIBB CO,BIBB CO,1,1
BIBB COMPANY,BIBB CO,1,1
BIC CORP,BIC CORP,1,1
"BIG B, INC.",BIG B INC,1,1
BIG BEAR STORES,BIG BEAR STORES,1,1
"BIG BEAR STORES CO, INC",BIG BEAR STORES,1,1
BIG BEAR STORES COMPANY,BIG BEAR STORES,1,1
"BIG BEAR STORES, INC.",BIG BEAR STORES,1,1
BIG O TIRES,BIG O TIRES INC,1,1
BIG O TIRES INC,BIG O TIRES INC,1,1
"BIG THREE INDUSTRIES, INC",BIG THREE INDUSTRIES,1,1
"BIOMET, INC.",BIOMET INC,1,1
BIRD CONSTRUCTION  CO,BIRD CONSTRUCTION INC,1,1
BJ'S WHOLESALE CLUB,BJ'S WHOLESALE CLUB INC,1,1
BJ'S WHOLESALE CLUB INC.,BJ'S WHOLESALE CLUB INC,1,1
"BJ'S WHOLESALE CLUB, INC.",BJ'S WHOLESALE CLUB INC,1,1
BJ's Wholesale Club,BJ'S WHOLESALE CLUB INC,1,1
"BJ's Wholesale Club, Inc.",BJ'S WHOLESALE CLUB INC,1,1
BLACK & DECKER CORP.,BLACK & DECKER CORP,1,1
BLACK & DECKER CORPORATION,BLACK & DECKER CORP,1,1
BLACKSTONE VALLEY ELECTRIC CO,BLACKSTONE VALLEY ELECTRIC,1,1
BLAIR CORPORATION,BLAIR CORP,1,1
"BLOUNT, INC.",BLOUNT INC,1,1
BLUE BELL,BLUE BELL INC,1,1
BLUEFIELD SUPPLY CO,BLUEFIELD SUPPLY CO,1,1
BOB EVANS FARMS,BOB EVANS FARMS,1,1
"BOB EVANS FARMS, INC.",BOB EVANS FARMS,1,1
BOC GROUP,BOC GROUP PLC,1,1
"BOC GROUP, INC.",BOC GROUP PLC,1,1
BOEING CO,BOEING CO,1,1
BOEING CO.,BOEING CO,1,1
BOEING COMPANY,BOEING CO,1,1
"BOEING, INC.",BOEING CO,1,1
"BOHEMIA, INC",BOHEMIA INC,1,1
"BOHEMIA, INC.",BOHEMIA INC,1,1
BOISE CASCADE,BOISE CASCADE CO,1,1
BOISE CASCADE CORP,BOISE CASCADE CO,1,1
BOISE CASCADE CORP.,BOISE CASCADE CO,1,1
BOISE CASCADE CORPORATION,BOISE CASCADE CO,1,1
BOOTH INC,BOOTH INC,1,1
